104.58219882078052, 
104.32076315575007, 
103.43385446356554, 
103.80572778925708, 
104.47764586072017, 
105.09772644863126, 
103.76856305569072, 
104.7027998695798, 
104.53021356311488, 
104.44427944518252, 
103.98715950137439, 
102.59924300395248, 
104.47574088638845, 
104.44491489599069, 
103.96108232569365, 
104.68279791088166, 
103.44412691112785, 
103.18308366676779, 
103.86293582910425, 
104.26485921218847, 
103.97669442401909, 
103.98223157086213, 
104.52731757259544, 
103.26412331620085, 
105.20690899039951, 
103.86915339725205, 
104.13931967145953, 
104.2875042842286, 
103.87925796072719, 
104.73415627915008, 
