321090.0710950368, 
322059.68383186776, 
320155.89000238787, 
323252.6786779125, 
317166.94691346865, 
319696.17425855645, 
319555.6208584491, 
322636.7806764643, 
318733.4612692024, 
320152.4874362878, 
327769.80436840944, 
323007.0470358976, 
320672.55798054277, 
319548.27279833565, 
318780.3668146074, 
315685.41979596455, 
318927.0969546331, 
322092.19068189233, 
313247.77636423026, 
316715.33311224787, 
317143.5022632495, 
324352.78634600114, 
317008.95481438475, 
314720.93492398586, 
321003.7917688741, 
314342.2015707934, 
314493.62265288236, 
328791.0108538233, 
324383.78370441374, 
313446.14090963954, 
