2.3097622307464722, 
2.387549540349136, 
2.312261453245949, 
2.350891377183842, 
2.2904830940168615, 
2.3962831359561774, 
2.3443111774554954, 
2.3166825667564734, 
2.388950649752572, 
2.360065450069148, 
2.3848071256376167, 
2.3904485167316625, 
2.3346317551137017, 
2.2257424819659786, 
2.3893850326492805, 
2.4564477547202257, 
2.409367611100533, 
2.3715419003702918, 
2.2667395976135465, 
2.3784870727802723, 
2.3568745052151847, 
2.351734502630296, 
2.320536173859152, 
2.3620025425387974, 
2.4401675807883016, 
2.373356707588016, 
2.4044063556863398, 
2.29016668884797, 
2.2909048410858097, 
2.3169522430276395, 
